subj date trialcsv
Julian 2023-06-12 salient_movieclip_wajd_Julian_202306_12105404.csv
Julian 2023-06-12 salient_movieclip_wajd_Julian_202306_12111041.csv
Julian 2023-06-12 salient_movieclip_wajd_Julian_202306_12110616.csv
Julian 2023-06-13 salient_movieclip_wajd_Julian_202306_13125649.csv
Julian 2023-06-13 salient_movieclip_wajd_Julian_202306_13124949.csv
Julian 2023-06-14 salient_movieclip_wajd_Julian_202306_14131139.csv
Julian 2023-06-14 salient_movieclip_wajd_Julian_202306_14130018.csv
Julian 2023-06-14 salient_movieclip_wajd_Julian_202306_14131756.csv
Julian 2023-06-15 salient_movieclip_wajd_Julian_202306_15130649.csv
Julian 2023-06-15 salient_movieclip_wajd_Julian_202306_15131420.csv
Julian 2023-06-15 salient_movieclip_wajd_Julian_202306_15131328.csv
Julian 2023-06-16 salient_movieclip_wajd_Julian_202306_16125558.csv
Julian 2023-06-16 salient_movieclip_wajd_Julian_202306_16124520.csv
Julian 2023-06-16 salient_movieclip_wajd_Julian_202306_16130355.csv
Julian 2023-06-19 salient_movieclip_wajd_Julian_202306_19125003.csv
Julian 2023-06-19 salient_movieclip_wajd_Julian_202306_19130905.csv
Julian 2023-06-19 salient_movieclip_wajd_Julian_202306_19125636.csv
Julian 2023-06-19 salient_movieclip_wajd_Julian_202306_19130309.csv
Julian 2023-06-21 salient_movieclip_wajd_Julian_202306_21130313.csv
Julian 2023-06-21 salient_movieclip_wajd_Julian_202306_21125705.csv
Julian 2023-06-21 salient_movieclip_wajd_Julian_202306_21130900.csv
Julian 2023-06-22 salient_movieclip_wajd_Julian_202306_22142503.csv
Julian 2023-06-22 salient_movieclip_wajd_Julian_202306_22141027.csv
Julian 2023-06-22 salient_movieclip_wajd_Julian_202306_22141904.csv
Julian 2023-06-23 salient_movieclip_wajd_Julian_202306_23130110.csv
Julian 2023-06-23 salient_movieclip_wajd_Julian_202306_23125506.csv
Julian 2023-06-23 salient_movieclip_wajd_Julian_202306_23124839.csv
